ID_Cliente,Tem_Carro,Tem_Casa_Propria,Qtd_Filhos,Rendimento_Anual,Categoria_de_renda,Grau_Escolaridade,Estado_Civil,Moradia,Idade,Tem_telefone_trabalho,Tem_telefone_fixo,Tem_email,Ocupacao,Tamanho_Familia,Anos_empregado,Mau
5008806,1,1,0,112500.0,Empregado,Ensino medio,Casado,Casa propria,59.0,0,0,0,Seguranca,2.0,3.1,0
5008810,0,1,0,270000.0,Associado comercial,Ensino medio,Solteiro,Casa propria,52.0,0,1,1,Venda,1.0,8.4,0
5008811,0,1,0,270000.0,Associado comercial,Ensino medio,Solteiro,Casa propria,52.0,0,1,1,Venda,1.0,8.4,0
5008812,0,1,0,283500.0,Pensionista,Ensino superior,Separado,Casa propria,62.0,0,0,0,Outros,1.0,-1.0,0
5008813,0,1,0,283500.0,Pensionista,Ensino superior,Separado,Casa propria,62.0,0,0,0,Outros,1.0,-1.0,0
5008814,0,1,0,283500.0,Pensionista,Ensino superior,Separado,Casa propria,62.0,0,0,0,Outros,1.0,-1.0,0
5112956,1,1,0,270000.0,Empregado,Ensino superior,Casado,Casa propria,46.0,1,1,1,Contabilidade,2.0,2.1,0
5008825,1,0,0,130500.0,Empregado,Ensino superior incompleto,Casado,Casa propria,29.0,0,0,0,Contabilidade,2.0,3.0,0
5008826,1,0,0,130500.0,Empregado,Ensino superior incompleto,Casado,Casa propria,29.0,0,0,0,Contabilidade,2.0,3.0,0
5008830,0,1,0,157500.0,Empregado,Ensino medio,Casado,Casa propria,27.0,0,1,0,Construcao Civil,2.0,4.0,0
5008831,0,1,0,157500.0,Empregado,Ensino medio,Casado,Casa propria,27.0,0,1,0,Construcao Civil,2.0,4.0,0
5008832,0,1,0,157500.0,Empregado,Ensino medio,Casado,Casa propria,27.0,0,1,0,Construcao Civil,2.0,4.0,0
5008834,0,1,1,112500.0,Empregado,Ensino medio,Solteiro,Casa propria,30.0,0,0,0,Outros,2.0,4.4,0
5008835,0,1,1,112500.0,Empregado,Ensino medio,Solteiro,Casa propria,30.0,0,0,0,Outros,2.0,4.4,0
5008836,1,1,3,270000.0,Empregado,Ensino medio,Casado,Casa propria,35.0,0,0,0,Construcao Civil,5.0,3.2,0
5008837,1,1,3,270000.0,Empregado,Ensino medio,Casado,Casa propria,35.0,0,0,0,Construcao Civil,5.0,3.2,0
5008838,0,1,1,405000.0,Associado comercial,Ensino superior,Casado,Casa propria,32.0,0,0,0,Gerencia,3.0,5.5,0
5008839,0,1,1,405000.0,Associado comercial,Ensino superior,Casado,Casa propria,32.0,0,0,0,Gerencia,3.0,5.5,0
5008840,0,1,1,405000.0,Associado comercial,Ensino superior,Casado,Casa propria,32.0,0,0,0,Gerencia,3.0,5.5,0
5008843,0,1,1,405000.0,Associado comercial,Ensino superior,Casado,Casa propria,32.0,0,0,0,Gerencia,3.0,5.5,0
5008844,1,1,0,112500.0,Associado comercial,Ensino medio,Casado,Casa propria,56.0,0,1,0,Motorista,2.0,12.2,0
5008847,1,1,0,112500.0,Associado comercial,Ensino medio,Casado,Casa propria,56.0,0,1,0,Motorista,2.0,12.2,0
5008850,1,1,0,112500.0,Associado comercial,Ensino medio,Casado,Casa propria,56.0,0,1,0,Motorista,2.0,12.2,0
5008853,1,1,0,112500.0,Associado comercial,Ensino medio,Casado,Casa propria,56.0,0,1,0,Motorista,2.0,12.2,0
5008855,1,1,2,135000.0,Empregado,Ensino medio,Casado,Casa propria,43.0,0,0,0,Construcao Civil,4.0,8.7,0
5008857,1,1,2,135000.0,Empregado,Ensino medio,Casado,Casa propria,43.0,0,0,0,Construcao Civil,4.0,8.7,0
5008868,0,1,1,211500.0,Servidor publico,Ensino medio,Uniao estavel,Casa propria,44.0,0,0,0,Equipe principal,3.0,19.4,0
5008873,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa propria,34.0,0,0,1,Gerencia,4.0,4.9,0
5008874,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa propria,34.0,0,0,1,Gerencia,4.0,4.9,0
5008875,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa propria,34.0,0,0,1,Gerencia,4.0,4.9,0
5008876,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa propria,34.0,0,0,1,Gerencia,4.0,4.9,0
5008879,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa propria,34.0,0,0,1,Gerencia,4.0,4.9,0
5008881,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa propria,34.0,0,0,1,Gerencia,4.0,4.9,0
5008882,0,1,2,126000.0,Associado comercial,Ensino superior,Casado,Casa propria,34.0,0,0,1,Gerencia,4.0,4.9,0
